Code;Libellé;Nb entreprises 2016;Nb créations d'entreprises 2016;Nb ent. dans l'industrie 2016;Nb ent. dans les services marchands 2016;Nb ent. dans le commerce, transports, hébergement, restauration 2016;Nb ent. dans la construction 2016
92002;Antony;3811;640;127;2542;820;322
92004;Asnières-sur-Seine;6657;1279;228;3871;1711;847
92007;Bagneux;1936;454;78;998;620;240
92009;Bois-Colombes;1845;350;59;1126;470;190
92012;Boulogne-Billancourt;15569;2380;444;11266;2931;928
92014;Bourg-la-Reine;1384;241;40;943;268;133
92019;Châtenay-Malabry;1438;366;52;931;309;146
92020;Châtillon;1949;397;78;1244;439;188
92022;Chaville;1115;198;34;769;222;90
92023;Clamart;3505;531;199;2007;905;394
92024;Clichy;5143;985;179;2762;1629;573
92025;Colombes;5097;1041;210;2844;1425;618
92026;Courbevoie;8388;1293;627;5667;1679;415
92032;Fontenay-aux-Roses;1131;213;49;757;230;95
92033;Garches;1469;216;38;1095;251;85
92035;La Garenne-Colombes;2263;398;65;1438;549;211
92036;Gennevilliers;2746;535;130;1084;1195;337
92040;Issy-les-Moulineaux;5546;1062;149;3970;1042;385
92044;Levallois-Perret;7787;1262;187;5388;1783;429
92046;Malakoff;2267;406;89;1379;592;207
92047;Marnes-la-Coquette;153;28;5;126;20;2
92048;Meudon;3001;511;105;2127;560;209
92049;Montrouge;3780;655;134;2461;883;302
92050;Nanterre;5956;1199;282;3173;1817;684
92051;Neuilly-sur-Seine;10553;1441;215;8144;1761;433
92060;Le Plessis-Robinson;1359;239;53;938;267;101
92062;Puteaux;5434;746;192;3632;1274;336
92063;Rueil-Malmaison;5960;916;205;4000;1278;477
92064;Saint-Cloud;2832;430;69;2213;462;88
92071;Sceaux;1366;211;32;1020;266;48
92072;Sèvres;2071;327;63;1565;354;89
92073;Suresnes;4074;567;123;2824;849;278
92075;Vanves;1675;337;52;1157;321;145
92076;Vaucresson;744;122;21;566;119;38
92077;Ville-d'Avray;767;127;20;591;121;35
92078;Villeneuve-la-Garenne;1276;261;57;541;530;148
